,Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
1476,1563,"Oh, and hes got such a good heart! Doesnt he have a good heart?",Joanna,joy,positive,159,5,3,20,"00:09:48,170","00:09:50,922"
1477,1564,"Oh, I know...",Rachel,joy,positive,159,6,3,20,"00:09:51,090","00:09:52,674"
1478,1565,"Oh, I know and hes soo sweet! Listen, he said he was going to call, so put him straight through.",Joanna,joy,positive,159,7,3,20,"00:09:51,090","00:09:55,010"
1480,1567,Dont spoil it.,Joanna,neutral,neutral,159,9,3,20,"0:09:56,512","0:09:58,317"
1481,1568,Hi.,Ross,neutral,neutral,160,0,3,14,"0:05:29,162","0:05:29,714"
1488,1575,"I can get a quick bite to eat, but then I have to come back up here.",Rachel,neutral,neutral,160,7,3,14,"00:05:39,630","00:05:41,965"
1489,1576,"Come on sweetie! You?ve had to work late every night for the past two weeks, what is it this time?",Ross,sadness,negative,160,8,3,14,"00:05:42,133","00:05:48,305"
1490,1578,"But work comes first!  Oh hey, but that?s sad about you though, what happened? Burn out? Burn all out, did ya?",Ross,joy,positive,160,10,3,14,"00:05:48,473","00:05:57,689"
1491,1579,"Nooo, he?s leaving for a better job.",Rachel,neutral,neutral,160,11,3,14,"00:05:59,609","00:06:01,735"
1492,1580,"Oh well that?s great, so I guess this is ah, this is good bye then. Huh?  Good bye.",Ross,joy,positive,160,12,3,14,"00:06:01,903","00:06:06,740"
1493,1581,"Okay, then.",Mark,neutral,neutral,160,13,3,14,"0:06:08,910","0:06:09,542"
1494,1582,Okay.,Ross,neutral,neutral,160,14,3,14,"0:06:09,542","0:06:10,746"
1495,1583,Well we?re gonna miss you around here.,Rachel,sadness,negative,160,15,3,14,"00:06:10,870","00:06:12,996"
1496,1584,"Yeah, me too.",Mark,sadness,negative,160,16,3,14,"00:06:13,456","00:06:15,207"
1497,1585,"So, see ya on Saturday.",Mark,neutral,neutral,160,17,3,14,"0:06:17,502","0:06:19,004"
1498,1586,"Yeah, you bet.",Rachel,neutral,neutral,160,18,3,14,"0:06:19,004","0:06:20,682"
1499,1607,Whazzup??,Ross,neutral,neutral,161,0,9,12,"00:09:19,141","00:09:21,142"
1500,1608,"Seriously dude, 3 years ago.",Chandler,joy,positive,161,1,9,12,"00:09:22,353","00:09:24,479"
1501,1609,"Listen, can you do me a favor?",Ross,neutral,neutral,161,2,9,12,"0:09:26,315","0:09:28,026"
1502,1610,I'm gonna be out today.,Ross,neutral,neutral,161,3,9,12,"0:09:28,026","0:09:29,343"
1503,1611,"Can you    just keep an eye on Joey, make sure nothing happens between him and Molly?",Ross,neutral,neutral,161,4,9,12,"00:09:29,485","00:09:33,613"
1504,1612,You don't trust him?,Chandler,surprise,positive,161,5,9,12,"00:09:33,823","00:09:35,949"
1505,1587,I think the check in is that way.,Ross,neutral,neutral,162,0,5,24,"0:01:02,979","0:01:04,981"
1506,1588,Ahh.,Rachel,neutral,neutral,162,1,5,24,"0:01:04,981","0:01:05,668"
1507,1589,"Monica face it, Chandler is against marriage. And-and always will be!",Joey,neutral,neutral,163,0,6,25,"00:06:45,321","00:06:48,323"
1508,1590,Well theres some people who do want to marry me.,Monica,anger,negative,163,1,6,25,"00:06:51,786","00:06:54,538"
1509,1591,There are?,Joey,surprise,positive,163,2,6,25,"0:06:54,747","0:06:55,373"
1510,1592,Yeah! Richard!,Monica,anger,negative,163,3,6,25,"0:06:55,373","0:06:57,269"
1517,1599,You got,Joey,neutral,neutral,163,10,6,25,"00:07:18,563","00:07:20,730"
1518,1600,"You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",Ross,fear,negative,164,0,1,1,"00:20:43,492","00:20:49,080"
1519,1601,I knew.,Rachel,neutral,neutral,164,1,1,1,"00:20:50,540","00:20:51,707"
1520,1602,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,Ross,surprise,positive,164,2,1,1,"00:20:52,084","00:20:58,138"
1521,1603,I did.,Rachel,neutral,neutral,164,3,1,1,"0:20:58,882","0:20:59,684"
1522,1604,Oh.,Ross,sadness,negative,164,4,1,1,"0:20:59,684","0:21:00,931"
1523,1605,"Listen, do you think- and try not to let my intense vulnerability become any kind of a factor herebut do you think it would be okay if I asked you out?",Ross,fear,negative,164,5,1,1,"00:21:05,514","00:21:16,983"
1524,1606,Sometime?,Ross,neutral,neutral,164,6,1,1,"0:21:13,105","0:21:15,817"
1525,1607,Maybe?,Ross,neutral,neutral,164,7,1,1,"0:21:15,817","0:21:17,031"
1526,1608,"Yeah, maybe...",Rachel,joy,positive,164,8,1,1,"00:21:18,235","00:21:21,821"
1527,1609,"Okay... okay, maybe I will...",Ross,joy,positive,164,9,1,1,"00:21:20,529","00:21:31,872"
1528,1611,"Well, I just thought itd make me feel good to do something nice for my friend.",Chandler,neutral,neutral,165,0,4,7,"00:14:12,852","00:14:16,531"
1529,1612,"Well, youre amazing.",Joey,joy,positive,165,1,4,7,"00:14:16,730","00:14:18,106"
1530,1613,Oh no-no-no.,Chandler,neutral,neutral,165,2,4,7,"00:14:18,566","00:14:21,651"
1531,1614,"A TV as if it appears from nowhere! Thats the dream! Man, how did you afford this stuff?",Joey,surprise,positive,165,3,4,7,"00:14:24,196","00:14:31,953"
1532,1615,"Well, yknow Im 29. I mean who needs a savings account.",Chandler,neutral,neutral,165,4,4,7,"00:14:32,162","00:14:35,206"
1533,1616,"Oh, you are the best friends anyone has ever had.",Joey,joy,positive,165,5,4,7,"00:14:35,624","00:14:38,167"
1534,1617,"Oh, I dont know.",Chandler,fear,negative,165,6,4,7,"00:14:38,961","00:14:41,045"
1535,1618,"Oh-no-no-no, you are!",Joey,joy,positive,165,7,4,7,"00:14:41,255","00:14:42,463"
1536,1619,"You do this, you give me the great advice, and hey listen, I was thinking about what you said yesterday about focusing on one woman, Im gonna do that.",Joey,joy,positive,165,8,4,7,"00:14:42,673","00:14:50,513"
1537,1620,You mean with Casey.,Chandler,neutral,neutral,165,9,4,7,"00:14:50,931","00:14:51,671"
1538,1621,"No-no-no, I think Im gonna see how things go with Kathy. Shes pretty cool.",Joey,neutral,neutral,165,10,4,7,"00:14:52,141","00:14:55,518"
1539,1622,Or Casey.,Chandler,neutral,neutral,165,11,4,7,"0:14:55,895","0:14:56,527"
1540,1623,"No-no, Kathy.",Joey,neutral,neutral,165,12,4,7,"0:14:56,527","0:14:58,200"
1541,1624,Could be Casey.,Chandler,neutral,neutral,165,13,4,7,"00:14:58,314","00:14:59,314"
1542,1625,"No. No, Kathy.",Joey,neutral,neutral,165,14,4,7,"00:14:59,523","00:15:00,607"
1543,1626,Consider Casey.,Chandler,neutral,neutral,165,15,4,7,"00:15:00,774","00:15:01,774"
1544,1628,I think somebodys got a little crush on Casey.,Joey,joy,positive,165,16,4,7,"00:15:03,569","00:15:07,030"
1545,1629,How bout I fix you two up?,Joey,joy,positive,165,17,4,7,"0:15:07,323","0:15:08,375"
1546,1630,What do you think?,Joey,joy,positive,165,18,4,7,"0:15:08,375","0:15:10,097"
1547,1631,That all the pieces of my life are falling right into place!,Chandler,joy,positive,165,19,4,7,"00:15:10,326","00:15:14,621"
1548,1632,"Hey, anybody got a length of rope about six feet long with a little nouse at the end?",Chandler,neutral,neutral,166,0,3,11,"00:02:36,156","00:02:40,242"
1549,1633,"Honey, whats the matter?",Monica,neutral,neutral,166,1,3,11,"0:02:41,451","0:02:42,293"
1550,1634,I just saw Janice.,Chandler,neutral,neutral,166,2,3,11,"0:02:42,293","0:02:42,433"
1551,1635,"Cause every time I see your face, I cant help but fall from grace. I know.....",Singer,joy,positive,167,0,3,14,"00:00:10,135","00:00:18,100"
1552,1636,Wow! This girl is good.,Joey,surprise,positive,167,1,3,14,"00:00:18,268","00:00:19,852"
1553,1637,"Oh-ho yeah! A song with rhyming words. Oo, I never thought of that before.",Phoebe,anger,negative,167,2,3,14,"00:00:20,020","00:00:23,856"
1554,1638,I like her.,Chandler,neutral,neutral,167,3,3,14,"00:00:26,192","00:00:27,234"
1555,1639,Why? Because she can sing and play guitar and do both at the same time?,Phoebe,neutral,neutral,167,4,3,14,"00:00:27,402","00:00:31,655"
1561,1645,"Okay, my next songs called: Phoebe Buffay, What Can I Say.",Singer,neutral,neutral,167,10,3,14,"00:01:02,979","00:01:08,692"
1562,1646,"I Really Loved When We Were Singing Partners, And I Shouldnt Have Left You That Way.",Singer,neutral,neutral,167,11,3,14,"00:01:05,815","00:01:12,321"
1564,1648,"Yes, hello.",Ross,neutral,neutral,168,0,5,24,"0:05:44,177","0:05:45,309"
1565,1649,I have a question.,Ross,neutral,neutral,168,1,5,24,"0:05:45,309","0:05:46,226"
1566,1650,"Umm, I used your pen to draw on my friend's face.",Ross,neutral,neutral,168,2,5,24,"00:05:46,346","00:05:51,558"
1567,1651,A beard and a moustache.,Ross,neutral,neutral,168,3,5,24,"00:05:52,393","00:05:54,478"
1568,1652,Thank you.,Ross,neutral,neutral,168,4,5,24,"00:05:57,190","00:05:59,358"
1569,1653,"No,",Ross,neutral,neutral,168,5,5,24,"00:06:00,526","00:06:02,694"
1570,1654,What?! What else did he say?,Rachel,surprise,negative,168,6,5,24,"00:06:24,300","00:06:26,134"
1571,1655,"Umm, he said he thought I was funny.",Ross,neutral,neutral,168,7,5,24,"00:06:26,344","00:06:29,596"
1572,1656,"So Okay, look-look umm, let's just go downstairs, we'll have some fun, and you will forget all about it.",Ross,neutral,neutral,168,8,5,24,"00:06:31,599","00:06:38,230"
1573,1657,"Ross, no! There is",Rachel,anger,negative,168,9,5,24,"00:06:38,439","00:06:41,525"
1574,1658,"Oh, come on! Rach, it's-it's not that bad.",Ross,neutral,neutral,168,10,5,24,"00:06:41,734","00:06:43,819"
1575,1659,"Ross, I am a human doodle!!",Rachel,anger,negative,168,11,5,24,"00:06:44,070","00:06:46,071"
1576,1660,"Look, just because some idiot drew on your face doesn't mean you shouldn't have any fun!",Ross,neutral,neutral,168,12,5,24,"00:06:47,532","00:06:51,785"
1577,1662,"And besides, hey-hey-hey no one is even gonna",Ross,neutral,neutral,168,13,5,24,"00:06:52,036","00:06:54,246"
1578,1663,"Okay, there was",Ross,neutral,neutral,168,14,5,24,"00:07:15,017","00:07:17,727"
1579,1664,Come on!,Ross,joy,positive,169,0,6,15,"00:03:40,762","00:03:42,262"
1580,1665,"Oh wait, dont you have to pay for your,  Busty Ladies?",Rachel,joy,positive,169,1,6,15,"00:03:42,430","00:03:46,350"
1581,1666,"No, its okay. Some-some kid asked me to pick it up for him, but I dont",Ross,neutral,neutral,169,2,6,15,"00:03:48,853","00:03:53,315"
1582,1671,Oh my God!!! What are you doing?!!,Monica,surprise,negative,170,0,3,6,"00:12:38,674","00:12:41,843"
1583,1672,"You said, you wanna come in for some lemonade?",Joey,neutral,neutral,170,1,3,6,"00:12:42,136","00:12:44,846"
1584,1673,So?!,Monica,disgust,negative,170,2,3,6,"00:12:45,055","00:12:46,347"
1585,1674,"Whoa, ah!! Were you just gonna give me some lemonade?",Joey,surprise,negative,170,3,3,6,"00:12:47,892","00:12:51,269"
1586,1675,Yeah huh!! Cover yourself up!,Monica,disgust,negative,170,4,3,6,"00:12:51,937","00:12:53,021"
1587,1676,"Oh right, right.",Joey,neutral,neutral,170,5,3,6,"00:12:53,522","00:12:54,731"
1588,1677,"I dont believe this! When someone asks you in for lemonade, and to you that means they wanna have sex?",Monica,disgust,negative,170,6,3,6,"00:12:54,982","00:13:00,528"
1589,1678,Well usually...yeah!,Joey,surprise,positive,170,7,3,6,"00:13:00,696","00:13:03,656"
1590,1679,"Well, not just lemonade, iced tea, sometimes juice.",Joey,neutral,neutral,170,8,3,6,"00:13:03,866","00:13:06,034"
1591,1680,"Well, sorry, I just, I thought you liked me.",Joey,neutral,neutral,170,9,3,6,"00:13:07,870","00:13:12,040"
1592,1681,Im such a jerk.,Joey,sadness,negative,170,10,3,6,"00:13:12,249","00:13:14,083"
1593,1682,"Its okay. I suppose it could happen to anyone, not anyone I know, but... By the way I can still see it.",Monica,neutral,neutral,170,11,3,6,"00:13:16,337","00:13:23,009"
1594,1683,Hmmm... this is so nice.,Rachel,joy,positive,171,0,1,7,"00:12:24,452","00:12:26,244"
1595,1684,"OK, I have a question. Well, actually, it's not so much a question as.. more of a general wondering... ment.",Ross,neutral,neutral,171,1,1,7,"00:12:30,875","00:12:42,093"
1596,1685,OK.,Rachel,neutral,neutral,171,2,1,7,"00:12:42,928","00:12:44,721"
1597,1686,"OK. Here goes. For a while now, I've been wanting to, um....",Ross,neutral,neutral,171,3,1,7,"00:12:45,306","00:12:53,354"
1598,1687,Ohhh!!!!,Rachel,surprise,positive,171,4,1,7,"0:12:53,731","0:12:55,253"
1599,1688,"Yes, yes, that's right...",Ross,neutral,neutral,171,5,1,7,"0:12:55,253","0:12:56,249"
1600,1689,"Oh, look at the little cat!",Rachel,surprise,positive,171,6,1,7,"00:12:56,400","00:12:58,735"
1601,1690,What?  Ow!,Ross,surprise,negative,171,7,1,7,"00:12:58,986","00:13:02,113"
1602,1691,"Well, I was probably going to do it at some point.",David,neutral,neutral,172,0,9,23,"00:06:16,125","00:06:18,585"
1603,1692,I didn't mean,Chandler,neutral,neutral,172,1,9,23,"0:06:18,753","0:06:19,635"
1604,1694,It's brilliant!,David,joy,positive,172,3,9,23,"0:06:20,762","0:06:21,796"
1605,1695,"Goodbye Mike, we'll see you at the wedding, fella!",David,joy,positive,172,4,9,23,"00:06:21,881","00:06:25,008"
1606,1696,"well, we probably won't invite you to the wedding...",David,neutral,neutral,172,5,9,23,"00:06:25,176","00:06:27,844"
1607,1697,"Thank you, Chandler.",David,neutral,neutral,172,6,9,23,"0:06:28,012","0:06:29,484"
1608,1698,Sincerely.,David,neutral,neutral,172,7,9,23,"0:06:29,484","0:06:31,448"
1609,1699,"Well, you're welcome! Glad I could help.",Chandler,joy,positive,172,8,9,23,"00:06:31,557","00:06:33,183"
1610,1701,"David, I'm pretending to",Chandler,neutral,neutral,172,10,9,23,"0:06:36,313","0:06:38,091"
1611,1702,"Okay, you have 19 questions left. Use them wisely.  Come on Joey! You cant win if you dont ask any",Phoebe,joy,positive,173,0,6,1,"00:10:25,791","00:10:36,051"
1616,1707,All right. All right.,Joey,neutral,neutral,173,5,6,1,"00:10:55,404","00:10:56,488"
1617,1708,Yeah! And until then you are going to sing to me because the radios broken and you are selfish but have a nice voice.,Phoebe,anger,negative,173,6,6,1,"00:10:56,697","00:11:04,120"
1620,1712,Morning!,Hitchhiker,joy,positive,173,10,6,1,"00:11:42,410","00:11:43,702"
1623,1715,It was. The duck in particular was superb.,2nd Customer,joy,positive,174,2,9,19,"00:05:57,900","00:06:00,444"
1624,1716,Thank you!    You haven't said anything...,Monica,joy,positive,174,3,9,19,"00:06:00,611","00:06:07,993"
1625,1717,Actually I do have one small complaint.,3rd Customer,neutral,neutral,174,4,9,19,"00:06:08,202","00:06:10,704"
1626,1718,Oh..please!I-I welcome criticism.,Monica,neutral,neutral,174,5,9,19,"00:06:10,871","00:06:15,501"
1629,1721,We did?,Joey,neutral,neutral,175,0,1,9,"0:07:55,224","0:07:55,850"
1636,1728,"Oh, I hate this story.",Ross,sadness,negative,175,7,1,9,"00:08:17,663","00:08:19,331"
1644,1737,Who are those people?,Chandler,surprise,positive,176,4,1,8,"0:20:35,317","0:20:36,129"
1645,1738,Got me.,Ross,surprise,positive,176,5,1,8,"0:20:36,129","0:20:37,878"
1646,1739,"Oh, that's Nana, right there in the middle.  'Me and the gang at Java Joe's'.",Monica,neutral,neutral,176,6,1,8,"00:20:38,111","00:20:45,826"
1647,1740,"Wow, Monica, you look just like your grandmother. How old was she there?",Rachel,surprise,positive,176,7,1,8,"00:20:46,036","00:20:49,622"
1648,1741,"Let's see, 1939... yeah, 24, 25?",Monica,neutral,neutral,176,8,1,8,"00:20:49,831","00:20:57,088"
1650,1743,"Ooh, look-look-look-look-look! I got Monica naked!",Joey,joy,positive,176,10,1,8,"00:21:02,970","00:21:06,138"
1651,1745,"So, whats this about?",Tag,joy,positive,177,0,8,2,"00:15:57,122","00:15:58,790"
1663,1757,in the category of Favorite Returning Male Character the nominees are: John Wheeler from,The Presenter,neutral,neutral,178,1,7,18,"00:10:37,678","00:10:43,141"
1664,1758,What the?!,Joey,surprise,negative,178,2,7,18,"00:11:05,081","00:11:07,248"
1667,1761,I bet youre a Gemini.,Rachel,neutral,neutral,179,2,7,22,"0:13:35,773","0:13:37,455"
1668,1762,Nope.,Policeman,neutral,neutral,179,3,7,22,"0:13:37,455","0:13:38,121"
1670,1764,Nope.,Policeman,neutral,neutral,179,5,7,22,"0:13:38,949","0:13:39,619"
1671,1765,Virgo?,Rachel,neutral,neutral,179,6,7,22,"0:13:39,735","0:13:40,987"
1672,1766,Nope.,Policeman,neutral,neutral,179,7,7,22,"0:13:40,987","0:13:41,613"
1673,1767,Sagittarius?,Rachel,neutral,neutral,179,8,7,22,"0:13:42,071","0:13:42,155"
1674,1768,Yep.,Policeman,neutral,neutral,179,9,7,22,"0:13:42,155","0:13:43,845"
1675,1769,"I knew it! I knew it, ahh.",Rachel,joy,positive,179,10,7,22,"00:13:43,948","00:13:46,407"
1676,1772,Youre not gonna speed anymore right?,Policeman,neutral,neutral,179,11,7,22,"0:13:46,575","0:13:49,137"
1677,1773,I wont speed.,Rachel,neutral,neutral,179,12,7,22,"0:13:49,137","0:13:49,627"
1678,1774,And you promise youll get this taken care of right away?,Policeman,neutral,neutral,179,13,7,22,"0:13:49,745","0:13:51,831"
1679,1775,I promise.,Rachel,neutral,neutral,179,14,7,22,"0:13:51,831","0:13:52,597"
1680,1776,And in the meantime you better let him drive. Does he have a license?,Policeman,neutral,neutral,179,15,7,22,"00:13:52,706","00:13:54,666"
1681,1777,Yeah!,Rachel,neutral,neutral,179,16,7,22,"0:13:54,834","0:13:55,086"
1682,1778,Can he handle the stick?,Policeman,neutral,neutral,179,17,7,22,"0:13:55,086","0:13:57,310"
1683,1779,Oh well,Rachel,neutral,neutral,179,18,7,22,"0:13:57,419","0:13:58,061"
1684,1780,I can handle the stick!!,Ross,anger,negative,179,19,7,22,"0:13:58,061","0:14:00,983"
1685,1781,Hey!,Monica,joy,positive,180,0,8,24,"0:02:27,844","0:02:28,971"
1686,1785,I cant believe this is taking so long. How are you doing?,Monica,sadness,negative,180,4,8,24,"00:02:29,220","00:02:32,098"
1687,1786,Oh not bad. Do you know that feeling when youre trying to blow a Saint Bernard out your ass?,Rachel,sadness,negative,180,5,8,24,"00:02:32,265","00:02:37,478"
1688,1787,Weirdest thing. Did I hearMother of God its true!,Chandler,surprise,negative,180,6,8,24,"00:02:40,565","00:02:45,987"
1689,1788,Chandler Bing!,Janice,surprise,positive,180,7,8,24,"00:02:46,904","00:02:50,908"
1690,1789,Janice,Joey,surprise,positive,180,8,8,24,"00:02:51,075","00:02:52,076"
1691,1790,"Not just Janice, Janice in labor, contracting and everything.",Ross,joy,positive,180,9,8,24,"00:02:52,243","00:02:56,789"
1692,1791,"Oh, this should be easy. I have a very wide pelvis. You remember Chandler.",Janice,neutral,neutral,180,10,8,24,"00:02:58,249","00:03:01,586"
1693,1792,Janice I didnt even know you were pregnant! Whos the unwitting human whos essence youve stolen?,Chandler,surprise,positive,180,11,8,24,"00:03:07,258","00:03:13,473"
1694,1793,Its you. This is yours.,Janice,neutral,neutral,180,12,8,24,"00:03:15,516","00:03:19,604"
1695,1794,What?!,Chandler,surprise,negative,180,13,8,24,"00:03:20,146","00:03:21,397"
1696,1795,Look how nervous he gets! We havent slept together in years!,Janice,joy,positive,180,14,8,24,"00:03:21,564","00:03:25,234"
1697,1796,Thats funny. Does it-does it hurt? Does the labor hurt?,Chandler,fear,negative,180,15,8,24,"00:03:28,905","00:03:31,699"
1698,1797,"Man, Im starving! What the hell was I thinking at dinner?! ""Do you want soup or salad?"" Both! Always order both!",Joey,anger,negative,181,0,7,12,"00:14:20,109","00:14:27,615"
1699,1798,"Yknow, yknow Im lookin and I dont think anyones home here.",Ross,neutral,neutral,181,1,7,12,"00:14:29,785","00:14:33,955"
1700,1799,"I say we just break the window, crawl through, and-and yknow explain later.",Ross,neutral,neutral,181,2,7,12,"00:14:34,123","00:14:40,837"
1701,1800,Yeah? Really? No ones home?,Joey,surprise,positive,181,3,7,12,"00:14:41,088","00:14:42,964"
1702,1801,I dont think so. Hello?  When you get in there,Ross,neutral,neutral,181,4,7,12,"00:14:41,088","00:14:53,850"
1703,1802,"Hey, what's up?",Monica,neutral,neutral,182,0,5,10,"00:06:55,456","00:06:57,666"
1704,1803,I just saw Danny getting on the subway with a girl and he had his arm around her.,Rachel,sadness,negative,182,1,5,10,"00:06:57,834","00:07:02,921"
1705,1804,"Oh, honey, I'm sorry.",Monica,sadness,negative,182,2,5,10,"00:07:03,089","00:07:04,506"
1706,1805,"Well, you should be, this is all your fault! You meddled in our relationship!!",Rachel,anger,negative,182,3,5,10,"00:07:04,757","00:07:11,596"
1707,1806,You had no relationship!!,Monica,anger,negative,182,4,5,10,"00:07:11,764","00:07:13,598"
1708,1807,"No, but I was doing my thing and everything was going according to the plan!",Rachel,anger,negative,182,5,5,10,"00:07:13,766","00:07:18,603"
1709,1808,"Oh God, stop with the plan!",Monica,anger,negative,182,6,5,10,"00:07:18,771","00:07:22,149"
1721,1821,Ta-da.,Phoebe,joy,positive,183,2,2,4,"0:09:55,315","0:09:56,264"
1722,1822,Hey.,Duncan,neutral,neutral,183,3,2,4,"0:09:57,346","0:09:58,139"
1724,1824,"Ahh, look at you, you look great.",Duncan,joy,positive,183,5,2,4,"00:09:59,098","00:10:01,308"
1725,1825,"Do I? Thank you, so do you.",Phoebe,neutral,neutral,183,6,2,4,"00:10:01,684","00:10:03,810"
1726,1826,Thanks.,Duncan,neutral,neutral,183,7,2,4,"0:10:04,186","0:10:05,688"
1727,1827,Sparkly.,Phoebe,neutral,neutral,183,8,2,4,"0:10:05,688","0:10:06,938"
1728,1828,"So, wow, this is pretty wonerful, huh.",Phoebe,joy,positive,183,9,2,4,"00:10:09,025","00:10:15,572"
1729,1829,Mr. major capades guy.,Phoebe,neutral,neutral,183,10,2,4,"00:10:10,318","00:10:15,572"
1730,1830,"I, I remember when you were just, like, King Friday in Mr. Roger's Ice is Nice.",Phoebe,neutral,neutral,183,11,2,4,"00:10:16,824","00:10:21,494"
1731,1831,You always said I'd make it.,Duncan,joy,positive,183,12,2,4,"00:10:23,080","00:10:24,789"
1732,1832,"Yeah, well, ya know, I'm kind of spooky that way. Wooo.",Phoebe,neutral,neutral,183,13,2,4,"00:10:25,041","00:10:28,376"
1733,1833,I missed you.  I'm gonna get changed.,Duncan,neutral,neutral,183,14,2,4,"00:10:29,920","00:10:36,801"
1743,1843,Hey!,Rachel,joy,positive,184,4,9,20,"0:05:56,344","0:05:57,613"
1745,1845,"Yeah, it's a real shame you can't make it to that one-woman    show tonight.",Rachel,sadness,negative,184,6,9,20,"00:05:59,138","00:06:03,351"
1746,1846,"Oh, I'd love to, but I gotta get up so early the next day and    so, you know me, work comes first",Joey,neutral,neutral,184,7,9,20,"00:06:03,518","00:06:10,441"
1747,1847,"Oh, yeah, yeah, yeah...",Rachel,neutral,neutral,184,8,9,20,"00:06:06,729","00:06:10,441"
1748,1848,"""Hi Joey, it's Jane Rogers can't wait for your party tonight""",Message,joy,positive,184,9,9,20,"00:06:11,943","00:06:15,488"
1749,1849,Stupid Jane Rogers!!,Joey,anger,negative,184,10,9,20,"00:06:17,281","00:06:19,575"
1750,1850,You are having a party tonight??,Rachel,surprise,negative,184,11,9,20,"00:06:20,576","00:06:22,578"
1751,1851,Kinda have a... a thing for the Days Of Our Life's people.,Joey,neutral,neutral,184,12,9,20,"00:06:23,120","00:06:26,290"
1752,1852,And you weren't going to tell us? How did you think you were    gonna get away with that?,Rachel,anger,negative,184,13,9,20,"00:06:26,457","00:06:32,421"
1753,1853,I do it every year.,Joey,neutral,neutral,184,14,9,20,"00:06:30,586","00:06:32,421"
1754,1854,You do that every year??,Rachel,surprise,negative,184,15,9,20,"00:06:34,048","00:06:36,092"
1755,1855,I didn't have to tell you that!! I'm stupider than Jane Rogers!!,Joey,anger,negative,184,16,9,20,"00:06:36,259","00:06:41,472"
1756,1856,"Oh, that's why you got these tickets to that play, to get rid    of us??",Rachel,anger,negative,184,17,9,20,"00:06:42,473","00:06:45,685"
1757,1857,Yeah...,Joey,neutral,neutral,184,18,9,20,"00:06:45,852","00:06:46,936"
1758,1858,And last year is that why you sent us to that medieval times    restaurant?,Rachel,anger,negative,184,19,9,20,"00:06:47,103","00:06:50,565"
1759,1859,Yeah...,Joey,neutral,neutral,184,20,9,20,"00:06:50,731","00:06:51,941"
1760,1860,"OH! And the year before that, when you set up that nighttime    tour of that button factory?",Rachel,anger,negative,184,21,9,20,"00:06:52,817","00:06:57,446"
1761,1861,Who's this from?,Rachel,surprise,positive,185,0,1,24,"0:08:26,547","0:08:27,319"
1762,1862,"Oh, that's Ross's.",Chandler,neutral,neutral,185,1,1,24,"0:08:27,319","0:08:28,553"
1763,1863,Oh...  Oh my God. He remembered.,Rachel,surprise,positive,185,2,1,24,"00:08:34,805","00:08:38,892"
1764,1864,Remembered what?,Phoebe,neutral,neutral,185,3,1,24,"00:08:39,101","00:08:40,310"
1765,1865,It was like months ago.,Rachel,surprise,positive,185,4,1,24,"00:08:40,520","00:08:42,229"
1766,1866,"We were walking by this antique store, and I saw this pin in the window, and I told him that it was just like one my grandmother had when I was a little girl.",Rachel,sadness,negative,185,5,1,24,"00:08:42,438","00:08:49,819"
1767,1867,Oh!,Rachel,surprise,positive,185,6,1,24,"00:08:50,029","00:08:51,029"
1768,1868,I can't believe he remembered!,Rachel,surprise,positive,185,7,1,24,"00:08:50,029","00:08:53,365"
1769,1869,"Oh, it's so pretty. This must have cost him a fortune.",Phoebe,surprise,positive,185,8,1,24,"00:09:01,290","00:09:07,420"
1770,1870,I can't believe he did this.,Monica,surprise,positive,185,9,1,24,"00:09:04,460","00:09:07,420"
1771,1871,"Come on, Ross? Remember back in college, when he fell in love with Carol and bought her that ridiculously expensive crystal duck?",Chandler,neutral,neutral,185,10,1,24,"00:09:07,630","00:09:16,555"
1772,1872,What did you just say?,Rachel,surprise,positive,185,11,1,24,"00:09:14,887","00:09:16,555"
1773,1873,F-hah.... flennin....,Chandler,fear,negative,185,12,1,24,"00:09:41,247","00:09:42,998"
1774,1874,Oh.... my God.,Rachel,surprise,positive,185,13,1,24,"00:09:46,377","00:09:49,379"
1775,1875,I really like waking up with you.,Gary,joy,positive,186,0,5,21,"00:19:59,698","00:20:01,282"
1776,1876,"I like waking up with you too.  Oh! It's such a beautiful morning.  Oh, I can stay here all day.",Phoebe,joy,positive,186,1,5,21,"00:19:59,698","00:20:07,163"
1777,1877,That would be great!,Gary,joy,positive,186,2,5,21,"00:20:09,166","00:20:10,917"
1778,1878,We could have breakfast in bed,Phoebe,joy,positive,186,3,5,21,"0:20:11,168","0:20:12,980"
1779,1879,"Wait, just a second.",Gary,neutral,neutral,186,4,5,21,"0:20:12,980","0:20:13,729"
1780,1880,Okay.  Oh! Oh no.,Phoebe,surprise,negative,186,5,5,21,"00:20:15,797","00:20:19,425"
1781,1881,"Well that was depressing, I think I just bought a soft pretzel from one of the kids from",Rachel,sadness,negative,187,0,3,24,"00:08:18,664","00:08:23,293"
1782,1882,Um-hmm. Oh wait! This is Bonnie.,Phoebe,surprise,positive,187,1,3,24,"00:08:24,170","00:08:27,214"
1783,1883,Hi!,Bonnie,joy,positive,187,2,3,24,"00:08:27,423","00:08:28,507"
1784,1884,This is Bonnie?  This is Bonnie?  Youre Bonnie?,Rachel,surprise,positive,187,3,3,24,"00:08:29,509","00:08:30,675"
